epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,1701.95,0.60881,0.38386,0.96921,0.98731,0.9682,0.99311,0.86501,0.59959,0.3368,0.91489,9.2704e-05,9.2704e-05,9.2704e-05
124,1715.06,0.61419,0.39239,0.95336,0.9884,0.96891,0.99311,0.86745,0.59991,0.34263,0.91433,8.70577e-05,8.70577e-05,8.70577e-05
125,1728.25,0.60726,0.37016,0.95769,0.98798,0.96797,0.99292,0.86311,0.59875,0.33764,0.91315,8.15947e-05,8.15947e-05,8.15947e-05
126,1741.29,0.61982,0.39228,0.97073,0.99119,0.96245,0.99268,0.86179,0.59634,0.3371,0.91259,7.63174e-05,7.63174e-05,7.63174e-05
127,1754.4,0.61979,0.39002,0.9609,0.99347,0.96839,0.99292,0.87176,0.58696,0.33776,0.91011,7.12282e-05,7.12282e-05,7.12282e-05
128,1767.49,0.61406,0.37407,0.95217,0.98694,0.96849,0.99378,0.87212,0.58059,0.32407,0.90815,6.63292e-05,6.63292e-05,6.63292e-05
129,1780.79,0.61177,0.36541,0.95905,0.98688,0.97013,0.99413,0.86571,0.58145,0.31798,0.90893,6.16227e-05,6.16227e-05,6.16227e-05
130,1793.89,0.61198,0.39879,0.95575,0.99146,0.96222,0.99355,0.86647,0.5845,0.32088,0.91016,5.71106e-05,5.71106e-05,5.71106e-05
131,1807.58,0.59469,0.36828,0.94586,0.98902,0.96877,0.99378,0.86454,0.58691,0.32609,0.91042,5.2795e-05,5.2795e-05,5.2795e-05
132,1820.66,0.62623,0.38097,0.96374,0.98885,0.97436,0.99378,0.86243,0.58525,0.32812,0.90982,4.86777e-05,4.86777e-05,4.86777e-05
133,1833.65,0.59668,0.36592,0.94312,0.98782,0.97436,0.99378,0.86325,0.5841,0.32625,0.90999,4.47606e-05,4.47606e-05,4.47606e-05
134,1846.8,0.59897,0.37587,0.95693,0.9881,0.97436,0.99354,0.86556,0.58319,0.32104,0.90965,4.10454e-05,4.10454e-05,4.10454e-05
135,1859.91,0.61154,0.3712,0.9514,0.98916,0.97436,0.99354,0.86358,0.58454,0.31784,0.90824,3.75337e-05,3.75337e-05,3.75337e-05
136,1872.91,0.58306,0.36977,0.95717,0.98789,0.97436,0.99354,0.86435,0.58356,0.31792,0.90776,3.4227e-05,3.4227e-05,3.4227e-05
137,1885.94,0.57974,0.35366,0.93065,0.98909,0.97436,0.99354,0.86235,0.58137,0.3194,0.90778,3.11268e-05,3.11268e-05,3.11268e-05
138,1899.03,0.57281,0.35159,0.93398,0.9913,0.97346,0.99311,0.85987,0.58337,0.31849,0.90883,2.82345e-05,2.82345e-05,2.82345e-05
139,1912.09,0.59228,0.36256,0.95343,0.9915,0.97384,0.99292,0.86222,0.58046,0.32148,0.90833,2.55513e-05,2.55513e-05,2.55513e-05
140,1925.14,0.57543,0.36062,0.9437,0.98903,0.97436,0.99292,0.86264,0.57894,0.315,0.90823,2.30784e-05,2.30784e-05,2.30784e-05
141,1980.85,0.6442,0.34199,0.94548,0.98573,0.97436,0.99255,0.8607,0.58258,0.31822,0.9092,2.08169e-05,2.08169e-05,2.08169e-05
142,1994.88,0.63126,0.33895,0.94592,0.98533,0.97436,0.99273,0.86506,0.58229,0.31822,0.90964,1.87678e-05,1.87678e-05,1.87678e-05
143,2008.06,0.62839,0.32984,0.9501,0.98554,0.97436,0.99311,0.8672,0.57922,0.31513,0.9094,1.6932e-05,1.6932e-05,1.6932e-05
144,2021.16,0.63371,0.32996,0.93941,0.991,0.97436,0.99311,0.87072,0.5767,0.30986,0.90942,1.53102e-05,1.53102e-05,1.53102e-05
145,2034.15,0.64148,0.32812,0.94971,0.98861,0.9712,0.99311,0.86779,0.57539,0.30803,0.90932,1.39032e-05,1.39032e-05,1.39032e-05
146,2047.09,0.62617,0.33561,0.95281,0.98549,0.97166,0.99311,0.86744,0.57639,0.3051,0.9094,1.27117e-05,1.27117e-05,1.27117e-05
147,2060.01,0.61111,0.33541,0.93094,0.9865,0.97161,0.99311,0.86444,0.57662,0.30456,0.9089,1.1736e-05,1.1736e-05,1.1736e-05
148,2073.19,0.62054,0.31937,0.93382,0.98578,0.97098,0.99311,0.86697,0.57422,0.30341,0.9076,1.09768e-05,1.09768e-05,1.09768e-05
